covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
number_inpatient,0.26336230146725914,1.3012980957657498,0.007007209791212871,0.2496284226443655,0.2770961802901528,1.283548390550385,1.3192932549410525,0.0,37.58447503562956,3.8548141427263e-309,1024.52912001695
discharge_disposition_id,0.021841511085646206,1.0220817830008901,0.0031781374431906055,0.015612476159074407,0.028070546012218006,1.0157349876036208,1.0284682361950321,0.0,6.872424958348878,6.311958652120765e-12,37.205049383958524
number_diagnoses,0.05193053159406249,1.053302568721342,0.012425325663916463,0.027577340796604986,0.07628372239152,1.0279611153644477,1.0792687434306698,0.0,4.17941010148896,2.9226622403069026e-05,15.062357361813492
num_procedures,-0.027046333465056263,0.9733161433700505,0.012227682552420061,-0.051012150882188384,-0.0030805160479241422,0.9502671238784064,0.996924223873253,0.0,-2.2118936559817173,0.026974013708555608,5.21228598052629
num_medications,0.055532778943282506,1.0571036672456742,0.02773928393813204,0.0011647814676133059,0.10990077641895171,1.0011654600890032,1.11616731484615,0.0,2.001954306648266,0.045289646100849124,4.4646749237482535
admission_type_id,-0.015140914022277394,0.9849731332973668,0.007918620176901302,-0.030661124376256135,0.00037929633170134987,0.969804160387527,1.0003793682736506,0.0,-1.912064688548088,0.05586789734357538,4.161836666047672
race_Unknown,-0.16006248140593637,0.8520905474875353,0.08513178004943502,-0.3269177042426145,0.006792741430741767,0.7211430876012477,1.0068158644253384,0.0,-1.8801730835768968,0.0600844926956814,4.056863498303201
time_in_hospital,0.017821009076440783,1.0179807507671688,0.012146538614426933,-0.005985769144661056,0.04162778729754262,0.9940321098804394,1.0425063724119847,0.0,1.4671676962582618,0.14233044222284288,2.8126838304451574
number_emergency,-0.01611974285975443,0.9840094848907198,0.011583103644428027,-0.03882220883202801,0.006582723112519149,0.96192171512947,1.0066044368533407,0.0,-1.3916600726877482,0.16402535841548005,2.6080092213115478
age,0.009999791407255394,1.0100499563950536,0.007518364478911225,-0.004735932194055858,0.024735515008566647,0.9952752646500124,1.02504397592198,0.0,1.3300487672956656,0.18350220400082143,2.4461307038517908
race_Caucasian,-0.01421420747374477,0.985886337420889,0.027864432573143413,-0.0688274917667506,0.04039907681926106,0.9334877005031019,1.0412262205375948,0.0,-0.5101201123128147,0.6099673156371545,0.7131961552143021
num_lab_procedures_bin_low,-0.03148617718763527,0.9690043507264869,0.07497803088357675,-0.1784404173511776,0.11546806297590706,0.8365739006814031,1.1223986679025661,0.0,-0.4199387049324608,0.6745302318732276,0.5680449898959313
num_lab_procedures,0.010130779598203833,1.0101822696771587,0.025016189445294695,-0.0389000507450048,0.059161609941412466,0.9618468402172714,1.0609466864179566,0.0,0.40496893503136366,0.6855003456888005,0.54477070135056
race_Asian,0.05206162790676344,1.0534406618558123,0.13982428610422862,-0.22198893702154898,0.32611219283507586,0.800924224893088,1.3855708112703748,0.0,0.3723360895113412,0.7096426315736712,0.4948354131620614
num_lab_procedures_bin_medium,0.011108195844687002,1.0111701209317385,0.040469310250432204,-0.06821019472533775,0.09042658641471175,0.9340641175907953,1.094641143160837,0.0,0.27448443711907267,0.783712361901862,0.3516038413126003
race_Other,-0.02418697299911971,0.9761031877546331,0.09474447895530867,-0.2098827394855378,0.16150879348729838,0.8106793010688805,1.1752827929472476,0.0,-0.25528635827454177,0.7985019354854639,0.3246321903042091
race_Hispanic,-0.018239171775962324,0.9819261552490179,0.08137621499944732,-0.1777336223730672,0.14125527882114255,0.8371653959215317,1.151718619832313,0.0,-0.22413394105496548,0.8226530830871457,0.2816439276980919
admission_source_id,-0.00044588825857676457,0.9995542111348195,0.0027662932141851184,-0.005867723329057142,0.004975946811903613,0.9941494581376858,1.0049883473949233,0.0,-0.16118618817785454,0.8719467591126882,0.1976880478542685
number_outpatient,0.00014802994080157815,1.0001480408977739,0.009544917158029794,-0.01855966392435523,0.01885572380595838,0.9816115060499511,1.0190346155750474,0.0,0.01550877166880866,0.9876262865554771,0.017962859278943005
